ID,YEAR,MONTH,CIRCUIT_NO,APP_CODE,REGION,VILLAGE,SUBDISTRICT,DISTRICT,PROVINCE,AP_NAME,IP_ADDRESS,UPLOAD,DOWNLOAD,NUM_USERS,NUM_DEVICES
1,2564,กรกฎาคม,4485d9000,SR711371,ภ.2,หมู่ 13 บ้านมะเกลือ,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711371,172.16.140.2,"4,901.45","86,793.12",403,57
2,2564,กรกฎาคม,4485d9001,SR711374,ภ.2,หมู่ 17 บ้านโนนทอง,บ้านกอก,จัตุรัส,ชัยภูมิ,CPM-SR711374,172.16.140.10,"1,609.27","18,763.15",364,69
3,2564,กรกฎาคม,4486d9000,SR711628,ภ.2,หมู่ 1 เพชร,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711628,172.16.140.50,"6,318.99","91,007.66",693,182
4,2564,กรกฎาคม,4486d9001,SR711630,ภ.2,หมู่ 8 เพชรใต้,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711630,172.16.140.58,"2,753.82","71,735.24",855,260
5,2564,กรกฎาคม,4486d9002,SR711631,ภ.2,หมู่ 9 กุดตูม,บ้านเพชร,ภูเขียว,ชัยภูมิ,CPM-SR711631,172.16.140.66,"13,661.13","259,679.82",835,54
6,2564,กรกฎาคม,4486d9003,SR711641,ภ.2,หมู่ 16 โคกสะอาด,โคกสะอาด,ภูเขียว,ชัยภูมิ,CPM-SR711641,172.16.140.74,"12,732.50","192,491.53","1,239",117
7,2564,กรกฎาคม,4481d9000,SR711715,ภ.2,หมู่ 3 นางเม้ง,โพนทอง,,ชัยภูมิ,CPM-SR711715,172.16.140.18,"11,224.27","210,211.78","1,003",94
8,2564,กรกฎาคม,4481d9001,SR711716,ภ.2,หมู่ 4 หนองหญ้ารังกา,โพนทอง,,ชัยภูมิ,CPM-SR711716,172.16.140.26,"14,485.10","205,379.76","1,046",166
9,2564,กรกฎาคม,4481d9002,SR711732,ภ.2,หมู่ 5 หนองคอนไทย,กุดตุ้ม,,ชัยภูมิ,CPM-SR711732,172.16.140.34,"5,796.15","121,396.75","1,030",93
10,2564,กรกฎาคม,4481d9003,SR711737,ภ.2,หมู่ 14 หนองคอนไทย,กุดตุ้ม,,ชัยภูมิ,CPM-SR711737,172.16.140.42,"24,460.35","432,737.42","2,184",105
11,2564,กรกฎาคม,5334d9000,SR672609,ภ.3,หมู่ 8 อมเม็ง,กองแขก,แม่แจ่ม,เชียงใหม่,CMI-SR672609,172.18.36.2,"13,378.39","248,719.40","1,147",87
12,2564,กรกฎาคม,5334d9001,SR673096,ภ.3,หมู่ 4 นาฟ่อน,บ่อหลวง,ฮอด,เชียงใหม่,CMI-SR673096,172.18.36.10,"8,914.31","164,486.74","1,170",71
13,2564,กรกฎาคม,5334d9002,SR772040,ภ.3,หมู่ 12 นางยางดิน,กองแขก,แม่แจ่ม,เชียงใหม่,CMI-SR772040,172.18.36.18,"24,087.79","508,929.79","2,097",126
14,2564,กรกฎาคม,3842d9002,SR710973,ภ.5,หมู่ 11 โค้งวันเพ็ญ,บางเสร่,สัตหีบ,ชลบุรี,PTY-SR710973,172.19.44.186,967.652,"7,183.60",178,16
15,2564,กรกฎาคม,3842d9001,SR669404,ภ.5,หมู่ 8 หนองหญ้า,พลูตาหลวง,สัตหีบ,ชลบุรี,PTY-SR669404,172.19.44.194,337.103,"7,558.11",22,3
16,2564,กรกฎาคม,3842d9000,SR669400,ภ.5,หมู่ 4 คลองพลูตาหลวง,พลูตาหลวง,สัตหีบ,ชลบุรี,PTY-SR669400,172.19.44.202,189.951,"2,893.23",246,39
17,2564,กรกฎาคม,3844d9001,SR669230,ภ.5,หมู่ 2 หนองน้ำเขียว,คลองกิ่ว,บ้านบึง,ชลบุรี,CBI-SR669230,172.19.44.18,"13,141.26","278,420.54","1,012",53
18,2564,กรกฎาคม,3841d9001,SR768647,ภ.5,หมู่ 6 คลองใหญ่,โป่ง,บางละมุง,ชลบุรี,PTY-SR768647,172.19.44.98,"1,134.97","26,944.56",154,24
19,2564,กรกฎาคม,3841d9002,SR769085,ภ.5,หมู่ 2 โป่ง,โป่ง,บางละมุง,ชลบุรี,PTY-SR769085,172.19.44.106,749.993,"11,282.44",64,15
20,2564,กรกฎาคม,3847d9001,SR669256,ภ.5,หมู่ 2 ยางเอน,นาวังหิน,พนัสนิคม,ชลบุรี,PTY-SR669256,172.19.44.122,"3,173.01","88,859.49",361,14
21,2564,กรกฎาคม,3841d9000,SR768417,ภ.5,หมู่ 14 ชุมชนมาบหนึ่ง (ม.6),หนองปรือ,บางละมุง,ชลบุรี,PTY-SR768417,172.19.44.114,40.924,137.964,11,8
22,2564,กรกฎาคม,3823d9000,SR768517,ภ.5,หมู่ 1 ทุ่งคาเหนือ,ห้วยใหญ่,บางละมุง,ชลบุรี,PTY-SR768517,172.19.44.74,100.569,39.17,57,8
23,2564,กรกฎาคม,3844d9005,SR769558,ภ.5,หมู่ 4 วังน้ำดำ,หนองบอนแดง,บ้านบึง,ชลบุรี,CBI-SR769558,172.19.44.50,"2,535.34","47,776.88",223,19
24,2564,กรกฎาคม,3847d9000,SR710589,ภ.5,หมู่ 7 หนองบอน,บ่อกวางทอง,บ่อทอง,ชลบุรี,CBI-SR710589,172.19.44.66,"19,568.94","147,525.25",748,33
25,2564,กรกฎาคม,3840d9000,SR768258,ภ.5,หมู่ 5 โป่งสะเก็ด,ตะเคียนเตี้ย,บางละมุง,ชลบุรี,LBG-SR768258,172.19.44.2,240.816,"2,042.98",134,37
26,2564,กรกฎาคม,3844d9006,SR771257,ภ.5,หมู่ 5 หมื่นจิตร,คลองกิ่ว,บ้านบึง,ชลบุรี,CBI-SR771257,172.19.44.58,"19,025.68","286,057.34","1,211",86
27,2564,กรกฎาคม,3844d9004,SR769345,ภ.5,หมู่ 6 โสม,คลองกิ่ว,บ้านบึง,ชลบุรี,CBI-SR769345,172.19.44.42,"5,820.32","154,868.66","1,001",38
28,2564,กรกฎาคม,3844d9003,SR669419,ภ.5,หมู่ 2 เนินสี่,ห้างสูง,หนองใหญ่,ชลบุรี,CBI-SR669419,172.19.44.34,674.081,"24,105.50",144,20
29,2564,กรกฎาคม,3844d9000,SR669228,ภ.5,หมู่ 7 หนองวงษ์,หนองอิรุณ,บ้านบึง,ชลบุรี,CBI-SR669228,172.19.44.10,"7,995.34","105,986.20",423,17
30,2564,กรกฎาคม,3844d9002,SR669239,ภ.5,หมู่ 4 ไร่กลาง,มาบไผ่,บ้านบึง,ชลบุรี,CBI-SR669239,172.19.44.26,"37,402.85","602,506.93","1,507",71
31,2564,กรกฎาคม,5641d9157,SR711056,ภ.3,หมู่ 4 ดอนตาล,หนองน้อย,วัดสิงห์,ชัยนาท,CNT-SR711056,172.18.22.122,"5,187.69","132,736.88",337,46
32,2564,กรกฎาคม,5641d9164,SR770153,ภ.3,หมู่ 8 ทุ่งพงษ์,หนองน้อย,วัดสิงห์,ชัยนาท,CNT-SR770153,172.18.22.178,"16,112.92","249,053.80",724,31
33,2564,กรกฎาคม,5641d9162,SR769899,ภ.3,หมู่ 6 ดอนแต้,หนองน้อย,วัดสิงห์,ชัยนาท,CNT-SR769899,172.18.22.138,"4,006.08","46,981.75",511,56
34,2564,กรกฎาคม,5641d9161,SR767794,ภ.3,หมู่ 1 วังจิก,สามง่ามท่าโบสถ์,หันคา,ชัยนาท,CNT-SR767794,172.18.22.130,"1,780.45","40,602.18",337,52
35,2564,กรกฎาคม,5641d9163,SR769950,ภ.3,หมู่ 5 ดอนมะขาม,หนองน้อย,วัดสิงห์,ชัยนาท,CNT-SR769950,172.18.22.162,982.646,"14,532.78",132,15
36,2564,กรกฎาคม,5641d9156,SR711055,ภ.3,หมู่ 2 หนองน้อย,หนองน้อย,วัดสิงห์,ชัยนาท,CNT-SR711055,172.18.22.114,"7,218.08","161,684.38",729,68
37,2564,กรกฎาคม,5641d9145,SR669508,ภ.3,หมู่ 15 เจริญทรัพย์,นางลือ,เมืองชัยนาท,ชัยนาท,CNT-SR669508,172.18.22.98,"3,118.08","32,500.42",309,71
38,2564,กรกฎาคม,5641d9155,SR711035,ภ.3,หมู่ 4 วังเคียน,นางลือ,เมืองชัยนาท,ชัยนาท,CNT-SR711035,172.18.22.106,"3,621.79","91,621.08","1,074",240
39,2564,กรกฎาคม,5641d9144,SR669505,ภ.3,หมู่ 12 วังเคียนเก่า,นางลือ,เมืองชัยนาท,ชัยนาท,CNT-SR669505,172.18.22.90,645.976,"23,831.88",195,13
